question_col,runs_col,bleu_col,bleu_hybrid_col,f1_col,f1_hybrid_col
157.0,1.0,2.6625419886703727e-78,2.6625419886703727e-78,0.2285714285714285,0.2285714285714285
155.0,1.0,5.527118757926412e-155,5.527118757926412e-155,0.1818181818181818,0.1818181818181818
150.0,1.0,0.1472821272412462,0.1472821272412462,0.2368421052631578,0.2368421052631578
149.0,1.0,4.5977803308688376e-155,4.5977803308688376e-155,0.1739130434782608,0.1739130434782608
25.0,1.0,4.506889438070446e-155,4.506889438070446e-155,0.1282051282051282,0.1282051282051282
143.0,1.0,2.972520735696054e-78,2.972520735696054e-78,0.2666666666666666,0.2666666666666666
140.0,1.0,4.323697452106654e-155,4.323697452106654e-155,0.1777777777777777,0.1777777777777777
139.0,1.0,0.0748555916917912,0.0748555916917912,0.175,0.175
137.0,0.0,7.293108985295422e-155,0.0,0.2499999999999999,0.0
136.0,1.0,5.74340400309589e-155,5.74340400309589e-155,0.1818181818181818,0.1818181818181818
134.0,1.0,5.1945147945938015e-155,5.1945147945938015e-155,0.1428571428571428,0.1428571428571428
132.0,1.0,5.969061643530969e-155,5.969061643530969e-155,0.2222222222222222,0.2222222222222222
128.0,0.0,2.977244831248785e-155,0.0,0.1818181818181818,0.0
126.0,1.0,4.9054707110052255e-155,4.9054707110052255e-155,0.1428571428571428,0.1428571428571428
125.0,1.0,5.0274387714082416e-155,5.0274387714082416e-155,0.1276595744680851,0.1276595744680851
124.0,1.0,5.859491021246916e-155,5.859491021246916e-155,0.1923076923076923,0.1923076923076923
123.0,0.0,3.549225288188377e-155,0.0,0.1063829787234042,0.0
122.0,1.0,4.777946850498661e-155,4.777946850498661e-155,0.1379310344827586,0.1379310344827586
111.0,1.0,5.287667392736108e-155,5.287667392736108e-155,0.15625,0.15625
117.0,1.0,5.1945147945938015e-155,5.1945147945938015e-155,0.1666666666666666,0.1666666666666666
59.0,0.0,3.809327469561673e-155,0.0,0.1578947368421052,0.0
113.0,1.0,3.352743298097415e-155,3.352743298097415e-155,0.2352941176470588,0.2352941176470588
104.0,1.0,4.506889438070446e-155,4.506889438070446e-155,0.1612903225806451,0.1612903225806451
10.0,1.0,4.177908019702813e-155,4.177908019702813e-155,0.1379310344827586,0.1379310344827586
1.0,1.0,5.527118757926412e-155,5.527118757926412e-155,0.1818181818181818,0.1818181818181818
178.0,1.0,5.859491021246916e-155,5.859491021246916e-155,0.1923076923076923,0.1923076923076923
129.0,1.0,4.9054707110052255e-155,4.9054707110052255e-155,0.1739130434782609,0.1739130434782609
183.0,1.0,3.271341557643298e-78,3.271341557643298e-78,0.2413793103448276,0.2413793103448276
181.0,1.0,6.53175655370481e-155,6.53175655370481e-155,0.1851851851851852,0.1851851851851852
