question_col,runs_col,bleu_col,bleu_hybrid_col,f1_col,f1_hybrid_col
167.0,1.0,3.4304666703251377e-155,3.4304666703251377e-155,0.1016949152542372,0.1016949152542372
131.0,0.0,5.969061643530969e-155,0.0,0.2222222222222222,0.0
120.0,0.0,2.5914830482886347e-155,0.0,0.2058823529411764,0.0
164.0,0.0,7.241926111174567e-155,0.0,0.25,0.0
88.0,1.0,7.677476567795425e-155,7.677476567795425e-155,0.2413793103448276,0.2413793103448276
151.0,1.0,6.881773688573657e-155,6.881773688573657e-155,0.2352941176470588,0.2352941176470588
63.0,1.0,4.1550798790141415e-155,4.1550798790141415e-155,0.1904761904761905,0.1904761904761905
27.0,1.0,5.952774829701863e-155,5.952774829701863e-155,0.2187499999999999,0.2187499999999999
156.0,1.0,6.223629500679345e-155,6.223629500679345e-155,0.1818181818181818,0.1818181818181818
207.0,1.0,0.1014524997386625,0.1014524997386625,0.1799999999999999,0.1799999999999999
24.0,1.0,7.293108985295422e-155,7.293108985295422e-155,0.2307692307692307,0.2307692307692307
133.0,0.0,4.101216571548797e-155,0.0,0.1320754716981132,0.0
103.0,1.0,4.550160538169341e-155,4.550160538169341e-155,0.1538461538461538,0.1538461538461538
165.0,0.0,3.505126972195164e-155,0.0,0.1388888888888889,0.0
108.0,1.0,6.223629500679345e-155,6.223629500679345e-155,0.2105263157894737,0.2105263157894737
15.0,0.0,5.697020093464323e-155,0.0,0.15625,0.0
45.0,1.0,5.178759661787199e-155,5.178759661787199e-155,0.1785714285714285,0.1785714285714285
82.0,1.0,3.5608750821685696e-78,3.5608750821685696e-78,0.2592592592592593,0.2592592592592593
9.0,1.0,6.054524308026741e-155,6.054524308026741e-155,0.2272727272727272,0.2272727272727272
201.0,1.0,5.502673892122423e-155,5.502673892122423e-155,0.2,0.2
171.0,1.0,4.098292351100502e-155,4.098292351100502e-155,0.1333333333333333,0.1333333333333333
182.0,1.0,4.550160538169341e-155,4.550160538169341e-155,0.1212121212121212,0.1212121212121212
13.0,1.0,4.227555240784788e-155,4.227555240784788e-155,0.1333333333333333,0.1333333333333333
114.0,1.0,4.105424319242439e-155,4.105424319242439e-155,0.1290322580645161,0.1290322580645161
92.0,0.0,4.3233341924983234e-155,0.0,0.1666666666666666,0.0
194.0,0.0,3.3999706075993257e-155,0.0,0.0888888888888888,0.0
175.0,1.0,3.581216623897135e-155,3.581216623897135e-155,0.12,0.12
26.0,0.0,4.3521358589488775e-155,0.0,0.1739130434782609,0.0
60.0,1.0,6.13274920178966e-155,6.13274920178966e-155,0.2,0.2
110.0,1.0,2.255678634127422e-155,2.255678634127422e-155,0.2,0.2
206.0,1.0,1.4635092721110749e-155,1.4635092721110749e-155,0.1388888888888889,0.1388888888888889
97.0,0.0,1.2942033324149489e-155,0.0,0.1785714285714285,0.0
20.0,1.0,2.215226382490221e-78,2.215226382490221e-78,0.1724137931034482,0.1724137931034482
169.0,1.0,4.797345496479161e-155,4.797345496479161e-155,0.1666666666666666,0.1666666666666666
38.0,1.0,5.8757106523996574e-155,5.8757106523996574e-155,0.2,0.2
192.0,1.0,1.80225800389529e-78,1.80225800389529e-78,0.1904761904761905,0.1904761904761905
78.0,1.0,6.378968006113944e-155,6.378968006113944e-155,0.2399999999999999,0.2399999999999999
19.0,0.0,4.209565235941523e-155,0.0,0.1764705882352941,0.0
190.0,1.0,4.4229255086999e-155,4.4229255086999e-155,0.1739130434782609,0.1739130434782609
174.0,0.0,6.288131685209581e-155,0.0,0.1935483870967742,0.0
189.0,1.0,0.055445598391411,0.055445598391411,0.1764705882352941,0.1764705882352941
152.0,0.0,4.1697351645421035e-155,0.0,0.1290322580645161,0.0
94.0,1.0,5.359624986283916e-155,5.359624986283916e-155,0.16,0.16
8.0,1.0,6.223629500679345e-155,6.223629500679345e-155,0.2105263157894737,0.2105263157894737
95.0,1.0,1.948624107145472e-78,1.948624107145472e-78,0.2031249999999999,0.2031249999999999
119.0,1.0,6.223629500679345e-155,6.223629500679345e-155,0.2105263157894737,0.2105263157894737
115.0,1.0,2.3104250616483557e-78,2.3104250616483557e-78,0.1724137931034482,0.1724137931034482
116.0,0.0,3.758887219744955e-155,0.0,0.1111111111111111,0.0
138.0,0.0,2.0489274805111115e-78,0.0,0.2413793103448276,0.0
177.0,1.0,5.755742213835839e-155,5.755742213835839e-155,0.2,0.2
101.0,1.0,3.6922292679052643e-155,3.6922292679052643e-155,0.108695652173913,0.108695652173913
14.0,1.0,4.2562854471622204e-155,4.2562854471622204e-155,0.1351351351351351,0.1351351351351351
87.0,1.0,6.945706419506725e-155,6.945706419506725e-155,0.2444444444444444,0.2444444444444444
148.0,0.0,3.8125337606980526e-155,0.0,0.0999999999999999,0.0
43.0,1.0,6.031902530509417e-155,6.031902530509417e-155,0.1509433962264151,0.1509433962264151
179.0,0.0,0.0130944577595471,0.0,0.0456852791878172,0.0
